NO,Modul,Sub-Modul,Kode FR,Nama FR,Deskripsi FR,User Story,Aktor,Jenis,Additional Note,Notes,,Aktor,Peran,Tugas
11,,,FR-SRT-05,Mengembalikan Surat,Mengembalikan surat ke pengirim awal atau ke pengirim sebelumnya (bertingkat),"Sebagai Staf Unit, saya ingin mengembalikan surat ke pengirim awal atau sebelumnya, sehingga saya bisa meminta perbaikan jika terdapat kesalahan pada dokumen.",Staf Unit,,melihat surat yang ditujukan ke unit atau ditujukan ke staf (pribadi),,,,,
12,,"Penerimaan Surat & Disposisi
( Surat Masuk )",FR-SRT-06,Melihat Daftar Surat Masuk,Staf unit dapat melihat daftar seluruh surat yang diterima oleh unitnya,"Sebagai Staf Unit, saya ingin melihat daftar seluruh surat masuk, sehingga saya bisa memantau dokumen apa saja yang telah diterima oleh unit saya.",Staf Unit,,,,,,,
13,,,FR-SRT-07,Mencari Surat,Staf unit dapat mencari surat berdasarkan perihal dan/atau pengirim.,"Sebagai Staf Unit, saya ingin mencari surat berdasarkan perihal atau pengirim, sehingga saya dapat menemukan dokumen spesifik yang saya butuhkan dengan cepat.",Staf Unit,,,,,,,
14,,,FR-SRT-08,Melihat Detail Surat,"Staf unit melihat informasi lengkap surat yang mencakup isi, pengirim, tujuan, lembar disposisi (bagi surat disposisi) dan dokumen lampiran surat.","Sebagai Staf Unit, saya ingin melihat detail surat (isi, pengirim, tujuan, lampiran, dan lembar disposisi), sehingga saya bisa memahami konteks dokumen tersebut secara utuh.",Staf Unit,,,,,,,
15,,,FR-SRT-09,Melihat Alur Surat,Staf unit  melihat riwayat dan alur distribusi surat dari awal hingga posisi saat ini.,"Sebagai Staf Unit, saya ingin melihat alur surat, sehingga saya mengetahui riwayat distribusi dan posisi dokumen saat ini.",Staf Unit,,,,,,,
16,,,FR-SRT-10,Memberikan Respon terhadap Surat,Staf unit memberikan respon berupa catatan atau tindak lanjut terhadap surat yang diterima.,"Sebagai Staf Unit, saya ingin memberikan respons berupa catatan terhadap surat yang diterima, sehingga saya bisa menentukan tindak lanjut dari dokumen tersebut.",Staf Unit,,,,,,,
17,,,FR-SRT-11,Mengakses Dokumen Surat,"Staf Unit melihat dan mengunduh dokumen, lampiran, dan lembar disposisi surat","Sebagai Staf Unit, saya ingin mengunduh dokumen surat, lampiran, dan lembar disposisi, sehingga saya memiliki salinan arsip digital dari dokumen terkait.",Staf Unit,,,,,,,
18,,,FR-DISP-01,Melakukan Disposisi Surat,"Staf unit  mendisposisikan surat ke unit atau pihak lain beserta instruksi tindak lanjut.
","Sebagai Staf Unit, saya ingin mendisposisikan surat ke pihak lain beserta instruksinya, sehingga tugas yang ada di dalam surat dapat didelegasikan dengan jelas.",Staf Unit,,,,,,,
19,,,FR-DISP-02,Merespon Disposisi,Staf unit  memberikan respon atas disposisi yang diterima sesuai instruksi yang diberikan.,"Sebagai Staf Unit, saya ingin merespons disposisi yang diterima, sehingga saya dapat melaporkan status tindak lanjut sesuai instruksi yang diberikan.",Staf Unit,,,,,,,
20,,,FR-DISP-03,Melihat Riwayat Perjalanan Surat,Staf unit  melihat riwayat perjalanan surat beserta status tindak lanjutnya.,"Sebagai Staf Unit, saya ingin melihat riwayat dan status alur disposisi, sehingga saya bisa memantau perkembangan penyelesaian tugas tersebut.",Staf Unit,,,,,,,
21,"Persuratan 
(Pengajuan & Penerbitan)",Pengajuan Surat,FR-REQ-01,Mengajukan Surat,Pengguna  mengajukan permohonan surat dengan mengisi data dan mengunggah dokumen pendukung.,"Sebagai Mahasiswa / Guest, saya ingin mengajukan permohonan surat (mengisi data dan mengunggah dokumen pendukung), sehingga permohonan saya dapat segera diproses oleh staf.","Mahasiswa, Guest",,Tetap ada disposisikan,,,,,
22,,,FR-REQ-02,Mengunduh Template Surat,Pengguna  mengunduh template surat yang sudah terisi data dari form atau template kosong,"Sebagai Mahasiswa / Guest, saya ingin mengunduh template surat (kosong atau terisi data), sehingga saya memiliki format permohonan yang sesuai dengan standar kampus.","Mahasiswa, Guest",,,,,,,
23,,,FR-REQ-03,Menerima Kode Pengajuan,Sistem memberikan kode unik sebagai identitas pengajuan yang  digunakan untuk pelacakan setelah pengajuan diikirim,"Sebagai Mahasiswa / Guest, saya ingin mendapatkan kode unik setelah mengirim pengajuan, sehingga saya memiliki identitas untuk melacak permohonan tersebut.","Mahasiswa, Guest",,,,,,,
24,,,FR-REQ-04,Melacak Status Pengajuan,Melacak status di tiap alur surat yang diajukan melalui kode yang digenerate,"Sebagai Mahasiswa / Guest, saya ingin melacak status pengajuan menggunakan kode unik, sehingga saya selalu mengetahui sejauh mana permohonan saya diproses.","Mahasiswa, Guest",,,,,,,
25,,,FR-REQ-05,Mengunduh Hasil Pengajuan,Pengguna  mengunduh hasil akhir pengajuan berupa surat terbitan atau dokumen hasil lainnya.,"Sebagai Mahasiswa / Guest, saya ingin mengunduh hasil akhir pengajuan, sehingga saya mendapatkan dokumen surat terbitan yang saya butuhkan.","Mahasiswa, Guest",,,,,,,
26,,,FR-REQ-06,Melihat Riwayat Pengajuan,Mahasiswa dapat melihat riwayat pengajuan suratnya berdasarkan NIM,"Sebagai Mahasiswa, saya ingin melihat riwayat pengajuan surat berdasarkan NIM, sehingga saya dapat merekap semua permohonan yang pernah saya lakukan.",Mahasiswa,,,,,,,
27,,Proses Pengajuan,FR-PRC-01,Menerima Surat Pengajuan yang Masuk,Staf unit menerima dan melihat daftar pengajuan yang masuk ke unitnya.,"Sebagai Staf Unit, saya ingin melihat daftar pengajuan yang masuk ke unit saya, sehingga saya bisa menindaklanjuti permohonan dari pengguna.",Staf Unit,,,,,,,
28,,,FR-PRC-02,Melihat Detail Pengajuan,Staf unit melihat informasi lengkap pengajuan termasuk data pemohon dan lampiran.,"Sebagai Staf Unit, saya ingin melihat detail pengajuan (data pemohon dan lampiran), sehingga saya dapat memverifikasi kelengkapan permohonan tersebut.",Staf Unit,,,,,,,
29,,,FR-PRC-03,Mengelola Lampiran Pengajuan,"Staf unit  menambahkan, memperbarui, atau memvalidasi lampiran dalam pengajuan.","Sebagai Staf Unit, saya ingin mengelola (menambah, memperbarui, memvalidasi) lampiran pengajuan, sehingga dokumen pendukung menjadi valid.",Staf Unit,,,,,,,
30,,,FR-PRC-04,Meneruskan Surat Bertingkat,Staf unit meneruskan surat pengajuan secara bertingkat kepada Pimpinan untuk direview dan dinilai validitasnya.,"Sebagai Staf Unit, saya ingin meneruskan surat pengajuan secara bertingkat kepada Pimpinan, sehingga dokumen tersebut bisa direview otoritas yang lebih tinggi.",Staf Unit,Mengakomodasi hierarki persetujuan Pimpinan sebelum diproses.,ada bantuan AI untuk membantu membuat isi surat maupun isi pesan,,,,,
31,,,FR-PRC-05-APPROVE,Menyetujui Pengajuan,Pimpinan memberikan persetujuan terhadap pengajuan surat yang diteruskan oleh Staf Unit.,"Sebagai Pimpinan, saya ingin memberikan persetujuan terhadap pengajuan surat, sehingga proses dapat berlanjut ke tahap penerbitan.",Staf Unit (Pejabat / Pimpinan),-,,,,,,
32,,,FR-PRC-05-REVERSE,Mengembalikan Pengajuan (Backtrack),Pimpinan mengembalikan pengajuan kembali ke Staf Unit jika terdapat ketidaksesuaian atau membutuhkan catatan revisi.,"Sebagai Pimpinan, saya ingin mengembalikan pengajuan (backtrack) ke Staf Unit, sehingga ketidaksesuaian dapat diperbaiki sebelum disetujui.",Staf Unit (Pejabat / Pimpinan),Mekanisme backtrack di tahap evaluasi pengajuan.,,,,,,
33,,,FR-PRC-05-REVISE,Merevisi Pengajuan,Staf unit menindaklanjuti status backtrack dengan melakukan perbaikan data atau meminta revisi lanjutan.,"Sebagai Staf Unit, saya ingin merevisi pengajuan yang dikembalikan oleh Pimpinan, sehingga data permohonan menjadi benar dan siap diajukan kembali.",Staf Unit,Tindak lanjut dari backtrack Pimpinan.,,,,,,
34,,,FR-PRC-06,Menyelesaikan Pengajuan,Staf unit menutup proses pengajuan dengan hasil akhir berupa surat terbitan atau status penolakan akhir.,"Sebagai Staf Unit, saya ingin menutup/menyelesaikan proses pengajuan, sehingga permohonan mendapatkan kejelasan status akhir (diterbitkan atau ditolak).",Staf Unit,Penutup siklus awal sebelum masuk ke tahap Penerbitan.,,,,,,
35,,Penerbitan Surat (Balasan),FR-REL-01,Membuat Surat Terbitan,Staf unit menghasilkan draft surat resmi berdasarkan pengajuan yang telah disetujui.,"Sebagai Staf Unit, saya ingin menghasilkan draft surat resmi berdasarkan pengajuan yang telah disetujui, sehingga persiapan dokumen terbitan dapat dimulai.",Staf Unit,,ada bantuan AI untuk membantu membuat isi surat,(saran fitur interaktif untuk surat),,,,
36,,,FR-REL-02,Mengajukan Penerbitan Bertingkat,Staf unit (pemroses) mengajukan draft surat terbitan baru secara bertingkat kepada Pimpinan untuk direview.,"Sebagai Staf Unit, saya ingin mengajukan draft penerbitan secara bertingkat kepada Pimpinan, sehingga drafttersebut dapat ditinjau sebelum disahkan.",Staf Unit,Mengadopsi gaya teruskan bertingkat dari modul NDE.,ada Proses (backtrack),,,,,
37,,,FR-REL-03-APPROVE,Menyetujui Permohonan Penerbitan,Pimpinan menyetujui permohonan penerbitan surat yang dikirimkan ke unit/akunnya.,"Sebagai Pimpinan, saya ingin menyetujui permohonan penerbitan, sehingga dokumen tersebut mendapatkan legalitas dan siap dibubuhi tanda tangan.",Staf Unit,Syarat sebelum sistem men-generate Tanda Tangan Digital.,,,,,,
38,,,FR-REL-03-REVERSE,Mengembalikan Permohonan (Backtrack),Pimpinan mengembalikan draft penerbitan surat ke unit pemohon/pemroses jika terdapat kesalahan.,"Sebagai Pimpinan, saya ingin mengembalikan draft penerbitan (backtrack), sehingga Staf Unit dapat memperbaiki kesalahan redaksional yang ada.",Staf Unit,Mekanisme backtrack utama pada tahap penerbitan.,,,,,,
39,,,FR-REL-04-REVISE,Merevisi Draft Penerbitan,Staf unit melakukan revisi terhadap draft penerbitan surat yang ditolak/dikembalikan oleh pimpinan.,"Sebagai Staf Unit, saya ingin merevisi draft penerbitan yang ditolak, sehingga saya bisa memperbaiki dokumen sesuai catatan dari Pimpinan.",Staf Unit,Menindaklanjuti aksi backtrack dari Pimpinan.,,,,,,
40,,,FR-TTD-01-TD,Tanda Tangan Digital,User dapat menambahkan tanda tangan digital pada dokumen,"Sebagai Pimpinan / Sistem, saya ingin menempelkan tanda tangan digital pada dokumen, sehingga surat terbitan memiliki keabsahan hukum secara elektronik.",Staf Unit (Pejabat / Pimpinan),Representasi persetujuan digital / Digital Signature.,,,,,,
41,,,FR-TTD-01-QR,Embedding QR Code,User dapat menyematkan QR Code pada dokumen final surat terbitan untuk pelacakan orisinalitas dokumen.,"Sebagai Sistem, saya ingin menyematkan QR Code pada dokumen final, sehingga orisinalitas surat terbitan dapat dilacak dan diverifikasi oleh pihak luar.",Staf Unit (Pejabat / Pimpinan),-,,,,,,
42,,,FR-REL-05-SEND,Mengirimkan Surat Terbitan,Staf unit mengirimkan hasil terbitan surat final ke pemohon awal ,"Sebagai Staf Unit, saya ingin mengirimkan hasil terbitan final ke pemohon awal, sehingga siklus pelayanan persuratan selesai.",Staf Unit,Menyelesaikan siklus layanan dokumen.,,,,,,
43,,,FR-REL-06-ARCHIVE,Mengarsipkan Surat Terbitan,User dapat menyimpan arsip surat terbitan di unitnya,"Sebagai Staf Unit, saya ingin menyimpan arsip surat terbitan di sistem, sehingga dokumen tersebut terdokumentasi dengan baik di unit saya.",Staf Unit,Terintegrasi dengan modul Manajemen Arsip.,,,,,,
44,,Pengelolaan Nomor Surat,FR-NBR-01,Mengelola Nomor Surat,Mengelola format nomor surat yang digunakan,"Sebagai Staf Unit, saya ingin mengelola format nomor surat, sehingga penomoran dokumen di unit saya tetap rapi dan sesuai standar.",Staf Unit,,,,,,,
45,,,FR-NBR-02,Mengatur Nomor Backdate,Staf unit  menetapkan nomor surat dengan tanggal mundur sesuai kebutuhan administratif.,"Sebagai Staf Unit, saya ingin menetapkan nomor surat dengan tanggal mundur (backdate), sehingga kebutuhan administratif mendesak tetap tertangani.",Staf Unit,,,,,,,
46,Pengarsipan Surat,Pengelolaan Arsip Surat,FR-ARC-01,Mengarsipkan Surat,"Unit mengarsipkan surat berdasarkan jenisnya (NDE, Pengajuan, Penerbitan) untuk setiap unitnya","Sebagai Staf Unit, saya ingin mengarsipkan surat berdasarkan jenisnya (NDE, Pengajuan, Penerbitan), sehingga dokumen digital terklasifikasi dengan baik dan terorganisir dengan baik.",Staf Unit,,"Jenis Surat : 
- Nota Dinas
- Surat Pengajuan
- Surat Penerbitan
- Hasil Penerbitan
- Balasan
",,,,,
47,,,FR-ARC-02,Melihat Arsip Surat,"Staf unit  melihat daftar surat yang telah diarsipkan di unitnya.
","Sebagai Staf Unit, saya ingin melihat daftar arsip surat, sehingga saya dapat meninjau seluruh riwayat persuratan yang pernah ada di unit saya.",Staf Unit,,,,,,,
48,,,FR-ARC-03,Mencari Arsip,"Staf unit  mencari arsip surat berdasarkan perihal, pengirim, atau kategori arsip.","Sebagai Staf Unit, saya ingin mencari arsip berdasarkan perihal, pengirim, atau kategori, sehingga pencarian dokumen lampau dapat dilakukan dalam hitungan detik.",Staf Unit,,,,,,,
49,,,FR-ARC-04,Mengelola Kategori Arsip,"Staf unit  membuat, mengubah, dan menghapus kategori arsip surat.","Sebagai Staf Unit, saya ingin mengelola kategori arsip, sehingga saya bisa menyesuaikan folder penyimpanan dengan kebutuhan spesifik unit.",Staf Unit,,,,,,,
50,Notifikasi,Notifikasi,FR-NOTIF-01,Menerrima Notifikasi Web Terkait Surat Masuk ,Sistem memberikan notifikasi melalui web saat terdapat surat masuk.,"Sebagai Staf Unit, saya ingin menerima notifikasi aplikasi (web) saat ada surat masuk, sehingga saya bisa langsung meresponsnya ketika sedang bekerja di depan layar.",Staf Unit,,,,,,,
51,,,FR-NOTIF-02,Menerima Notifikasi WA Terkait Surat Masuk ,Sistem mengirimkan notifikasi melalui WhatsApp saat terdapat surat masuk.,"Sebagai Staf Unit, saya ingin menerima notifikasi via WhatsApp, sehingga saya tidak melewatkan informasi surat penting meskipun sedang tidak membuka aplikasi SIMAS.",Staf Unit,,,,,,,
